competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
"understanding of network protocols (tcp/ip, dns, dhcp, vlan, subnetting).","pemahaman tentang protokol jaringan (tcp/ip, dns, dhcp, vlan, subnetting).","understanding of network protocols (tcp/ip, dns, dhcp, vlan, subnetting).","pemahaman tentang protokol jaringan (tcp/ip, dns, dhcp, vlan, subnetting). understanding of network protocols (tcp/ip, dns, dhcp, vlan, subnetting)."
advanced network troubleshooting.,pemecahan masalah jaringan tingkat lanjut.,advanced network troubleshooting.,pemecahan masalah jaringan tingkat lanjut. advanced network troubleshooting.
experience using backup tools such as veeam or zerto.,pengalaman menggunakan alat cadangan seperti veeam atau zerto.,experience using backup tools such as veeam or zerto.,pengalaman menggunakan alat cadangan seperti veeam atau zerto. experience using backup tools such as veeam or zerto.
designing and managing reliable backup & recovery strategies.,merancang dan mengelola strategi pencadangan & pemulihan yang andal.,designing and managing reliable backup & recovery strategies.,merancang dan mengelola strategi pencadangan & pemulihan yang andal. designing and managing reliable backup & recovery strategies.
"understanding of cloud computing (aws, azure, or gcp).","pemahaman tentang komputasi awan (aws, azure, atau gcp).","understanding of cloud computing (aws, azure, or gcp).","pemahaman tentang komputasi awan (aws, azure, atau gcp). understanding of cloud computing (aws, azure, or gcp)."
"scripting expertise (powershell, python, or ansible).","keahlian skrip (powershell, python, atau ansible).","scripting expertise (powershell, python, or ansible).","keahlian skrip (powershell, python, atau ansible). scripting expertise (powershell, python, or ansible)."
strong analysis and problem-solving skills.,analisis yang kuat dan keterampilan pemecahan masalah.,strong analysis and problem-solving skills.,analisis yang kuat dan keterampilan pemecahan masalah. strong analysis and problem-solving skills.
"effective communication, both written and verbal.","komunikasi yang efektif, baik tertulis maupun lisan.","effective communication, both written and verbal.","komunikasi yang efektif, baik tertulis maupun lisan. effective communication, both written and verbal."
ability to work both in a team and independently.,kemampuan bekerja baik dalam tim maupun mandiri.,ability to work both in a team and independently.,kemampuan bekerja baik dalam tim maupun mandiri. ability to work both in a team and independently.
ready to work under pressure and handle emergency situations.,siap bekerja di bawah tekanan dan menangani situasi darurat.,ready to work under pressure and handle emergency situations.,siap bekerja di bawah tekanan dan menangani situasi darurat. ready to work under pressure and handle emergency situations.
"managing and maintaining the vmware environment, including troubleshooting and system upgrades.","mengelola dan memelihara lingkungan vmware, termasuk pemecahan masalah dan peningkatan sistem.","managing and maintaining the vmware environment, including troubleshooting and system upgrades.","mengelola dan memelihara lingkungan vmware, termasuk pemecahan masalah dan peningkatan sistem. managing and maintaining the vmware environment, including troubleshooting and system upgrades."
designing and implementing backup & recovery solutions according to business needs.,merancang dan mengimplementasikan solusi pencadangan & pemulihan sesuai dengan kebutuhan bisnis.,designing and implementing backup & recovery solutions according to business needs.,merancang dan mengimplementasikan solusi pencadangan & pemulihan sesuai dengan kebutuhan bisnis. designing and implementing backup & recovery solutions according to business needs.
coordinating with other teams to maintain system integrity and data security.,berkoordinasi dengan tim lain untuk menjaga integritas sistem dan keamanan data.,coordinating with other teams to maintain system integrity and data security.,berkoordinasi dengan tim lain untuk menjaga integritas sistem dan keamanan data. coordinating with other teams to maintain system integrity and data security.
creating technical documentation related to it infrastructure.,membuat dokumentasi teknis terkait infrastrukturnya.,creating technical documentation related to it infrastructure.,membuat dokumentasi teknis terkait infrastrukturnya. creating technical documentation related to it infrastructure.
"development application, unit testing, and perform cr","pengembangan aplikasi, pengujian unit, dan melakukan cr","development application, unit testing, and perform cr","pengembangan aplikasi, pengujian unit, dan melakukan cr development application, unit testing, and perform cr"
develop report based on the specification provided,mengembangkan laporan berdasarkan spesifikasi yang diberikan,develop report based on the specification provided,mengembangkan laporan berdasarkan spesifikasi yang diberikan develop report based on the specification provided
"full-stack skills: php (laravel), nginx, git, flutter, javascript, css/scss, ms sql, rest api, jwt","keterampilan full-stack: php (laravel), nginx, git, flutter, javascript, css/scss, ms sql, rest api, jwt","full-stack skills: php (laravel), nginx, git, flutter, javascript, css/scss, ms sql, rest api, jwt","keterampilan full-stack: php (laravel), nginx, git, flutter, javascript, css/scss, ms sql, rest api, jwt full-stack skills: php (laravel), nginx, git, flutter, javascript, css/scss, ms sql, rest api, jwt"
"strong understanding of html, css3, and javascript","pemahaman yang kuat tentang html, css3, dan javascript","strong understanding of html, css3, and javascript","pemahaman yang kuat tentang html, css3, dan javascript strong understanding of html, css3, and javascript"
familiar with agile sdlc and exposure to scrum projects,akrab dengan agile sdlc dan paparan proyek scrum,familiar with agile sdlc and exposure to scrum projects,akrab dengan agile sdlc dan paparan proyek scrum familiar with agile sdlc and exposure to scrum projects
"knowledge of dart, rest apis, and integrating 3rd-party apis","pengetahuan tentang dart, rest apis, dan mengintegrasikan api pihak ketiga","knowledge of dart, rest apis, and integrating 3rd-party apis","pengetahuan tentang dart, rest apis, dan mengintegrasikan api pihak ketiga knowledge of dart, rest apis, and integrating 3rd-party apis"
comfortable debugging using test cases to improve performance & reliability,debugging yang nyaman menggunakan kasus uji untuk meningkatkan kinerja & keandalan,comfortable debugging using test cases to improve performance & reliability,debugging yang nyaman menggunakan kasus uji untuk meningkatkan kinerja & keandalan comfortable debugging using test cases to improve performance & reliability
"good communication, analysis, and problem-solving skills","keterampilan komunikasi, analisis, dan pemecahan masalah yang baik","good communication, analysis, and problem-solving skills","keterampilan komunikasi, analisis, dan pemecahan masalah yang baik good communication, analysis, and problem-solving skills"
berkoordinasi dengan stakeholder dan department terkait,berkoordinasi dengan stakeholder dan department terkait,coordinate with stakeholders and related departments,berkoordinasi dengan stakeholder dan department terkait coordinate with stakeholders and related departments
melakukan pengajuan proposal pembuatan project dan bernegosiasi dengan pihak ke 3,melakukan pengajuan proposal pembuatan project dan bernegosiasi dengan pihak ke 3,submit project proposals and negotiate with 3rd parties,melakukan pengajuan proposal pembuatan project dan bernegosiasi dengan pihak ke 3 submit project proposals and negotiate with 3rd parties
melakukan analisa penawaran dan harga dari vendor,melakukan analisa penawaran dan harga dari vendor,Analyze offers and prices from vendors,melakukan analisa penawaran dan harga dari vendor Analyze offers and prices from vendors
